通し番号,元リスト,エリア,店舗名,業種,公式サイトURL,電話,メール公開,メールアドレス,問い合わせフォーム,備考
138,追加1,岐阜,ドッグケアハウス モプティシェリ,犬の幼稚園/トリミング/ホテル/一時預かり,https://www.monpetit-cheri.jp/,,×,,○,岐阜市福光西｜/contactに名前/メール/電話/内容の入力フォーム
139,追加1,三重,Dog Answer(ドッグアンサー),ドッグスクール/犬の幼稚園/ペットホテル/トリミング,https://www.dogschool-tanaka.jp/,,○,@dogschool-tanaka.jp ドメイン,○,四日市市小杉平町｜/contact/に入力フォーム(完全アドレスは非表示)
140,追加1,富山,ワンズクラブ富山,犬の学校・保育園/トリミング/ホテル,https://wansclubtoyama-dogs.jimdofree.com/,,×,,○,射水市三ケ(アルプラザ小杉内)｜/お問い合わせ/に入力フォーム(CAPTCHA)
141,追加1,石川,いぬの保育園 ペロ(perro),犬の保育園/ドッグトレーニング,https://perro.jp/,,×,,○,野々市市稲荷｜/contact/に名前/電話/メール/犬情報/内容の入力フォーム
142,追加1,石川,絆Labo(ラボ),犬のしつけ教室/ペットホテル/シャンプー,https://kizuna-labo.com/,,×,,○,金沢市小坂町｜/contact/に入力フォーム、連絡は電話080-9680-7858
143,追加1,福井,PARCOURIL(パルクリール),トリミング/ペットホテル/ショップ,https://parcourir.jp/,,×,,○,福井市成和｜/contact/に名前/電話/メール/住所/犬情報/内容の入力フォーム
144,追加1,大阪,DOG WOOF by popomeip,ドッグ幼稚園/トレーニング/トリミング/ホテル,https://popomeip.com/,,×,,×,大阪府守口市｜予約・問い合わせは電話(06-6995-4871)のみと明記
145,追加1,大阪,WanWanWan 犬の幼稚園,ドッグ幼稚園/お泊まり保育/トリミング,https://wanwanwan.dog/,,×,,×,大阪市(浪速区・天王寺区・西区・北区)｜電話/LINE/Instagramのみ、/contactは404
146,追加1,大阪,ulu,ドッグ幼稚園/一時保育/ホテル/トリミング,https://ulu-petcare.com/,,×,,○,大阪市浪速区幸町｜/contact/に名前/メール/電話/住所/内容/カテゴリの入力フォーム
147,追加1,京都,Perrito(ペリート),ドッグ幼稚園/トレーニング/ペットホテル/トリミング,https://www.petit3669.com/,,×,,×,京都市伏見区石田大山町｜予約は外部予約システム・LINE・電話、入力フォームなし
148,追加1,京都,るぴこむ わんこのお宿・幼稚園,ペットホテル/ドッグ幼稚園,https://lupicom.com/,,○,lupicom.wan.wan@gmail.com,○,京都市中京区(京町家)｜フッターにmailto公開、予約・お問合せフォームあり
149,追加1,京都,mum dog(マムドッグ),犬の保育園/ドッグトレーニング,https://mumdog-kyoto.com/,,×,,○,京都市南区吉祥院｜/contact/に名前/フリガナ/メール/電話/犬情報/内容の入力フォーム
150,追加1,京都,DOGアイドル,ペット保育園/ペットホテル/トリミング,https://www.dogidol.net/,,○,hello@dogidol.net,○,京都市北区紫野｜フッターにメール、/enquiry問い合わせ・/booking予約フォーム
151,追加1,兵庫,RISPETTO(リスペット),ドッグ幼稚園/デイケア/ペットホテル/トリミング,https://rispetto-dog.com/,,×,,×,西宮市(神戸市灘区に姉妹店)｜トップは電話のみのポータル、/contactは404
152,追加1,兵庫,犬の幼稚園 mo-no(モーノ),ドッグスクール/ゲージフリーペットホテル,https://mo-no-inu.com/,,×,,×,神戸市垂水区名谷町｜/contactは電話・LINE案内のみで入力フォームなし
153,追加1,奈良,郡山ドッグスクール,ドッグ幼稚園/ドッグホテル/ドッグスクール,https://koriyama-dogschool.com/,,×,,○,大和郡山市｜/contact/に氏名/電話/メール/内容の入力フォーム、メール非公開
154,追加1,奈良,K'sドッグスクール 本校,ドッグスクール/ペットホテル/トリミング,https://ksdogschool.com/,,不明,,不明,奈良市押熊町｜https/http・www有無いずれも403で開けず
155,追加1,滋賀,ドッグサロンナナ,トリミング/ペットホテル,https://dognana.jp/,,×,,×,大津市｜TEL 077-524-3873のみ、/contact/は電話案内で入力フォームなし
156,追加1,滋賀,ドッグサロンオズ,トリミング/ペットホテル/ペットシッター,https://dogsalon-oz.com/,,×,,○,栗東市(守山市にも店舗)｜/contactに希望プラン/日等の予約問い合わせフォーム
157,追加1,和歌山,ツチヤドッグスクール,ドッグ幼稚園/一時預かり/ドッグスクール,https://www.eonet.ne.jp/~ttdog/,,○,pawkydog@yahoo.co.jp,×,和歌山市六十谷｜トップにmailtoでメール公開、入力フォームはなし
158,追加1,鳥取,あおぞらドッグラン,ドッグ幼稚園/ペットホテル/トリミング,https://aozora-d.jp/,,×,,○,鳥取市湖山町西4丁目｜/otoiawase/に名前/メール/題名/本文の入力フォーム
159,追加1,島根,ドッグスクール縁,ドッグ幼稚園/ドッグスクール/ホテル,https://dog-school-enn.com/,,×,,○,松江市宍道町佐々布｜/contactに入力フォーム(別途Googleフォーム予約も)
160,追加1,香川,i-DOG アイドッグ ラティ高松店,ペットホテル/トリミング/ドッグラン,https://i-dog.jp/hotelandtrimming/,,×,,○,高松市多肥上町｜/contactは404だがホテル予約はGoogleフォーム(forms.gle)
161,追加1,広島,ドッグスクール FLAP,ドッグ幼稚園/しつけ教室/ペットホテル,https://dog-sc-flap.lolipop.jp/,,×,,○,広島市｜予約は外部フォーム(select-type.com等)、LINE・SNSあり
162,追加1,広島,ペットホテルBRUNO,ペットホテル(ケージフリー),https://aubergecaninebruno.com/,,×,,○,広島市東区｜/contact/に氏名/ふりがな/メール/電話/内容の入力フォーム(reCAPTCHA)
163,追加1,広島,ドッグサポート,犬の保育園/トレーニング/ホテル/トリミング,http://www.megaegg.ne.jp/~dog-support/,,不明,,不明,広島市西区｜http/www有無いずれも503で開けず
164,追加1,山口,ハッピーランドハレルヤ,犬の保育園/しつけ教室/ペットホテル,https://happyland-hareruya.com/,,×,,×,山口市朝倉町｜予約は外部システム(reserva.be)、問い合わせはLINE・電話
165,追加1,山口,Pet hotel Laster hill,ペットホテル,https://laster-hill.com/,,○,info@laster-hill.com,○,山口市小郡光が丘｜フッターにmailto公開、/cms/pageask0.htmlに入力フォーム
166,追加1,徳島,ペットステーション ジュエル,犬の保育園/ペットホテル/介護,https://petcare-jewel.com/,,○,info@petcare-jewel.com,○,徳島市八万町｜トップにメール公開、お問い合わせフォームリンク(予約は外部)
167,追加1,香川,犬・幼稚園 Smart One,ドッグ幼稚園/ペットホテル,https://codogschool-pupguide.com/hotel/,,○,co.dogschool@gmail.com,○,高松市木太町｜mailtoでメール公開、ホテル予約フォームあり、LINE相談も
168,追加1,香川,MIKKAドッグライフ,ペットホテル(1日1組),https://mikka-dog.com/dog-hotel/,,○,info.mikka.doglife@gmail.com,○,高松市十川西町｜フッターにメール公開、/contact/に入力フォーム
169,追加1,愛媛,ペット保育園ポム,ペット保育園/ペットホテル/トリミング,https://pet-pom.jimdofree.com/,,×,,○,松山市勝山町｜お問合わせページに名前/メール/メッセージの入力フォーム(電話089-915-1125)
170,追加1,愛媛,ZOOの森,ペットホテル/トリミング/ドッグエステ,https://petzoo.jp/,,×,,○,松山市｜/contact/に仮予約・問い合わせフォーム(電話080-2991-7987)
171,追加1,愛媛,ペットサロン Off Time,トリミング/ペットホテル/一時預かり,https://petsalon-offtime.com/,,×,,×,松山市来住町｜完全予約制で電話のみ(089-957-5951)
172,追加1,高知,SEIWASOHドッグスクール,ドッグスクール/犬の保育園/ペットホテル,https://www.seiwasoh.com/,,○,seiwasoh0022@outlook.jp,○,高知市仁井田｜/contactに入力フォーム、メールはプライバシーポリシー欄に記載
173,追加1,福岡,犬の保育園 Hana,ドッグ幼稚園/ホテル/トリミング,https://inunohoikuen-hana.com/,,×,,×,福岡市東区筥松｜予約とも電話案内(080-8328-8787)/LINE中心、実フォーム未確認
174,追加1,福岡,ドッグライフプランナーズ福岡校,ドッグ幼稚園/ホテル/しつけ,https://dlp-fuk.com/,,×,,×,福岡市南区玉川町｜問い合わせフォーム(/main/postmail/)は停止中、電話のみ(092-553-6667)
175,追加1,福岡,ドッグサロン SaPone(サポネ),ドッグ幼稚園/ホテル/トリミング,https://dog-sapone.com/,,×,,×,那珂川市今光｜問い合わせ/予約ページなし、/contactは404、電話のみ(092-408-3381)
176,追加1,福岡,TKS-Dog Sports Club,ドッグ幼稚園/ホテル/しつけ,https://www.tks-dogsportsclub.com/,,×,,○,那珂川市南畑｜トップに名前/メール/件名/本文の問い合わせフォーム
177,追加1,佐賀,SAGAドッグスクール,しつけ/ペットホテル,https://sagadogschool.com/,,×,,○,佐賀市富士町｜/contactに名前/メール/住所/電話/メッセージの入力フォーム(電話0952-51-0035)
178,追加1,長崎,長崎企画(犬訓練所),しつけ/ペットホテル/トリミング,https://www.nagasaki-dogkunren.com/,,○,cielo.luce.2@icloud.com,×,長崎市｜ページ下部にメール掲載、フォームなし(電話095-856-6311)
179,追加1,熊本,ドッグサロンミラ,トリミング/ペットホテル,https://dogsalon-mira.com/,,×,,×,熊本市(新屋敷本店・光の森店)｜予約・問い合わせは電話のみ(096-201-4090)
180,追加1,大分,ONE'S COOL(わんずくーる),ドッグ保育園/デイケア/ホテル,https://www.onescool.com/,,○,contact@onescool.com,×,別府市石垣西｜問い合わせ用メール掲載(24時間受付)、Webフォームなし
181,追加1,宮崎,Dogsalon&Hotel とろろ,トリミング/ペットホテル/室内ドッグラン,https://petsalontororo.com/,,×,,×,宮崎市広島｜予約はLINE中心、電話0985-88-1066、フォーム・メールなし
182,追加1,宮崎,にゃんこの手,ペットホテル(ケージレス),https://nyankonote.com/,,○,toiawase@nyankonote.com,○,宮崎市(宮崎空港近く)｜会社情報欄にメール掲載、/nyawp/toiawase/に問い合わせフォーム
183,追加1,鹿児島,DOG REST,託児/デイケア/ペットホテル/トリミング,https://dogrest-kagoshima.com/,,×,,×,鹿児島市下荒田｜/contactとも入力欄なし、電話・LINEのみ
184,追加1,沖縄,Pet Watch ペットウォッチ沖縄,保育園/デイケア/ホテル/トリミング(ケージレス),https://pet-watch.org/,,×,,×,沖縄市｜/contactusに入力欄なし、電話のみ(098-989-0559)
185,追加1,沖縄,Happy dog(ハッピードッグ),保育園/デイケア/ホテル/トリミング/しつけ,https://www.okinawa-happy-dog.com/,,×,,○,うるま市｜/contactに名前/メール/電話/問い合わせ内容のフォーム(トリミング等はLINE誘導)
186,追加1,沖縄,ワンニャンじゃんぐる,トリミング/ペットホテル,https://www.12jungle.co.jp/,,×,,○,那覇市具志｜/contactに名前/メール/電話/内容のフォーム(ホテル等は外部予約/LINE)
187,追加2,北海道,ベリードッグ,トリミング/ペットホテル,https://www.berydog.com/,,×,,×,函館市戸倉町148-3｜電話(0138-36-3386)のみ、フォーム・メールなし
188,追加2,北海道,Dog Salon inugoya,トリミング(古民家ドッグサロン),https://www.dogsalon-inugoya.com/,,×,,○,函館市青柳町｜/contactにフォーム、Web予約は外部(petlife.asia)
189,追加2,北海道,Going Merry,トリミング/ペットホテル/ドッグカフェ,https://going-merry.jp/,,×,,×,旭川市西神楽1線5号67-46｜電話(080-3265-4922他)/LINE/SNS誘導のみ
190,追加2,北海道,KODY(コディ),トリミングサロン,https://pet-kody.com/,,×,,×,旭川市神居2条17丁目1-11ほか｜電話(080-4507-8996)のみ
191,追加2,北海道,Dog Tiara(ドッグティアラ),トリミング/ペットサロン,https://dog-tiara.net/,,×,,×,旭川市10条通14丁目24-102｜電話予約のみ(090-1303-3717)
192,追加2,北海道,ペットサロンWave,トリミング/ペットホテル,https://obihiro-petsalon-wave.jimdofree.com/,,×,,×,帯広市西13条南16丁目1-4｜Instagram DM/電話(0155-27-0208)のみ
193,追加2,北海道,ペットサロン LOU LOU(ルル),トリミング/ペットサロン,https://loulou1.jp/,,不明,,不明,苫小牧市｜JS描画で本文取得不可、/contact等404、複数回試行も確認できず
194,追加2,北海道,Dog Salon Bond,トリミング/シャンプー/ホテル,https://dog-salon-bond.com/,,×,,○,苫小牧市拓勇西町6丁目27-25｜/contactフォーム、別途/reserve、電話0144-84-6404
195,追加2,青森,ペットサロン わんくぅ,トリミング/グルーミング,https://wankuu.net/,,×,,○,八戸市下長2丁目3-31｜contact.htmlにフォーム
196,追加2,岩手,シルバードッグ,トリミング/ペットホテル,https://www.silverdog.jp/,,×,,○,盛岡市本町通1-4-23｜/contactフォーム、電話019-601-9068
197,追加2,岩手,PAPA de GIGI(盛岡菜園店),トリミングペットサロン,https://www.papadegigi.com/,,○,papadegigi@snow.ocn.ne.jp,○,盛岡市菜園1丁目1-4｜フッターmailto公開、/contactに業者向けフォーム(一般予約はLINE/電話)
198,追加2,岩手,Dog Salon moimoi,ドッグサロン(トリミング専門),https://www.moimoidog.com/,,○,contact@moimoidog.com,×,盛岡市三ツ割1丁目9-8｜フッターにメール公開、予約は電話(019-656-1332)誘導
199,追加2,秋田,DogSalon CIEL(シエル),ドッグサロン(大型犬対応),https://cielsalon-dog.net/,,×,,○,秋田市新屋扇町9-27｜page08.aspxの予約フォーム(asp系予約システム)
200,追加2,秋田,Woo Drops(ウードロップス),トリミング/一時預かり,https://woo-drops.com/,,×,,○,秋田市広面字長沼312｜トップに予約フォーム、別途/inquiry、LINE予約
201,追加2,山形,ペット美容室ローディー,トリミング/ペット美容室,https://www.roadie-yamagata.com/,,×,,×,山形市南館5丁目2-20｜予約は電話優先(023-645-7082)、フォーム・メールなし
202,追加2,福島,Dog salon NICO,小型中型犬専門トリミング,https://nico-dog.jp/,,×,,○,郡山市富田東6-43｜トップに予約フォーム、/contact、電話090-1069-0374
203,追加2,福島,グルーミングサロンYUMI,犬専門トリミング,https://www.yumir4300.com/,,×,,○,郡山市開成6丁目151｜/contact/フォーム、電話024-938-4300
204,追加2,福島,おうちDOGサロン リン,トリミング/ペットホテル/ドッグパーク,https://ouchidogsalon-rin.com/,,×,,×,郡山市大槻町字針生西7-6｜予約は電話(080-5224-3279)・LINE・Instagram誘導
205,追加2,福島,Pomme d'Adam(ポムダダン),トリミング/ドッグフォトスタジオ,https://pomme-d-adam.com/,,○,info@pomme-d-adam.com,×,福島市陣場町6-14｜ACCESSにメール公開、予約はLINE中心で入力フォームなし
206,追加2,福島,ティンカーベル.JP,トリミング/ペットホテル/老犬ホーム,https://www.t-bell.jp/,,○,info@t-bell.jp,○,会津若松市行仁町7-22｜トップにメール、/contactに名前/メール/電話/内容の入力フォーム
207,追加2,東京,Dog Place Oasis,トリミングサロン,https://dogplace-oasis.jp/,,○,info@dogplace-oasis.jp,×,立川市(西立川駅徒歩2分)｜媒体向けメール記載、/contact404、予約は電話042-526-3925
208,追加2,東京,トリミングサロン 犬喜庵(けんきあん),トリミングサロン(移動・出張型),https://kenkian.com/,,×,,○,立川市柏町4-44-28｜/contact/に名前/電話/メール/住所/犬種/内容の入力フォーム
209,追加2,神奈川,トリミングサロン ドッグチョイス,トリミングサロン,https://dog-choice.com/,,×,,○,茅ヶ崎市中島1206｜/contactに名前/電話/メール/内容の入力フォーム(公開メールなし)
210,追加2,千葉,SNOOP,ペットサロン(トリミング・ホテル),https://petsalon-snoop.com/,,×,,○,船橋市習志野台1-11-4｜/contact/に氏名/メール/電話/住所/本文の入力フォーム
211,追加2,千葉,犬の美容室 COWAN,トリミングサロン,https://www.cowan.jp/,,×,,○,松戸市大金平5-392-2｜WEB予約は外部システム(step.petlife.asia)、電話・LINEも
212,追加2,埼玉,ラブドッグス(Love Dogs),トリミングサロン,https://lovedogs.co.jp/,,×,,×,さいたま市大宮区土手町3-101｜連絡はLINE・電話048-643-1500・Instagramのみ
213,追加2,埼玉,ドッグサロン ふわふわ,ドッグサロン(トリミング・ホテル),https://www.dogfuwafuwa.com/,,×,,○,狭山市柏原827-1｜form.htmlに名前/フリガナ/住所/電話/内容の入力フォーム
214,追加2,埼玉,ペットサロンハニー 川越本店,トリミングサロン,https://petsalon-honey.com/kawagoe/,,×,,○,川越市的場1-26-5｜ネット予約は外部システム(salon-de-one.com)、電話049-233-6996
215,追加2,埼玉,ZUTTO DOG(ズットドッグ),犬の幼稚園/ホテル/トリミング,https://zuttodog.jp/,,×,,○,桶川・上尾・北本・伊奈町｜/contact/に名前/メール/住所/電話/犬種/内容の入力フォーム
216,追加2,埼玉,深谷ドッグスクール育わん幼稚園,ドッグスクール/犬の幼稚園,https://www.fukaya-dogschool.com/,,×,,×,深谷市武蔵野2283-3｜/contactはフォーム無し、電話080-4797-8474とLINEのみ
217,追加2,茨城,dog care salon CALME,トリミングサロン,https://calme-dog.com/,,×,,×,つくば市島名891-1｜予約・問い合わせはLINEと電話029-828-6868のみ
218,追加2,茨城,Dog Salon ONE-U,トリミングサロン,https://one-u.dog/,,×,,不明,つくば市みどりの2-17-4｜/contactはネット予約・LINE・電話案内のみで入力欄を確認できず(新規予約一時停止)
219,追加2,茨城,トリミングサロン カリフォルニアドッグ,トリミングサロン,https://www.caldog.co.jp/,,○,info@caldog.co.jp,×,つくば市学園の森3-29-6｜mailto公開、完全予約制でWEB予約は外部(bg3.power-k.jp)、入力フォームなし
220,追加2,茨城,ファミリードッグ,トリミングサロン(ホテル併設),https://family-dog-mitosi.com/,,×,,×,水戸市石川1-3797-4｜相談・予約はLINEと電話029-252-0055のみ
221,追加2,茨城,DogSalon FLOCHE,トリミングサロン,https://dog-floche.com/,,×,,×,水戸市平須町2053-5｜予約はLINEと電話029-291-6838のみ
222,追加2,栃木,Dog One(ドッグワン),トリミングサロン,https://dog-one.jp/,,×,,×,宇都宮市鶴田町2185-18｜予約は電話028-307-3415優先、LINE・SNSのみ
223,追加2,栃木,ドッグサロン fugafuga,トリミングサロン,https://fuga-fuga.com/,,×,,×,宇都宮市｜/contactは「お問い合わせはお電話で」、入力フォーム無し、電話028-611-1555
224,追加2,栃木,DogSalon AZAZ,ドッグサロン,https://dogsalon-azaz.com/,,×,,○,宇都宮市下田原町｜予約フォームは外部システム(step.petlife.asia)で入力式
225,追加2,栃木,Dog Style Growth,トリミングサロン,https://www.dog-style-growth.com/,,×,,×,宇都宮市御幸ケ原町143-17｜電話080-2287-0823、予約は外部(petlife.asia)とLINE
226,追加2,群馬,トリミングサロンPuPuLa,トリミングサロン/ペットホテル,https://pupula.pink/,,×,,×,前橋市下佐鳥町｜電話(027-265-0602等)とLINE、外部予約(itsuaki.com)
227,追加2,群馬,トリミングサロンHappiness,トリミングサロン,https://tsaron-happiness.com/,,×,,○,前橋市上大屋町327-33｜/contact/にフォーム(reCAPTCHA)、別途外部予約システム
228,追加2,愛知,N.more(エヌ・モア),ドッグサロン・トリミング,https://n-more-dogsalon.com/,,×,,×,豊田市小川町1丁目3-3｜完全予約制で電話0565-32-9575のみ
229,追加2,愛知,dog salon tsumugi(ツムギ),ドッグサロン・トリミング/ペットホテル,https://tsumugi-dogsalon.com/,,×,,×,岡崎市竜泉寺町東柄栗19｜/contactはInstagram・LINE・電話090-1783-2690誘導のみ
230,追加2,愛知,ドッグ&キャット アディー・,トリミングサロン/ペットホテル,https://addypet.com/,,×,,○,一宮市奥町神田11-3｜お問い合わせフォーム(page_id=5496)、電話0586-61-7667
231,追加2,愛知,ドッグサロン・ベルーガ,ドッグサロン(トリミング&犬の整体),https://dog-beluga.com/,,○,minatominato@nifty.com,×,豊橋市南大清水町富士見366-3｜トップにメール明記、電話0532-25-3220、入力フォームなし
232,追加2,愛知,トリミングサロンglaffy(ぐらっふぃ),トリミングサロン,https://glaffy.com/,,×,,○,豊川市蔵子5丁目13-50｜予約・お問い合わせフォーム(page_id=109)
233,追加2,愛知,Paw Dog(パウドッグ),犬の幼稚園,https://www.pawdog-k.com/,,×,,○,刈谷市銀座4丁目78-2｜/form.htmlにフォーム(CAPTCHA)、予約は外部Coubic
234,追加2,静岡,わんわん美容室,トリミングサロン/ペットホテル,https://www.wanwan-pet.jp/,,×,,○,浜松市中央区舘山寺町2047-5｜トップが/contact/を「メールフォーム」と明記(contactは403)
235,追加2,静岡,トリミングサロン DISA,トリミングサロン/ペットホテル,https://www.trimmingdisa.com/,,×,,○,静岡市葵区唐瀬｜/contactフォーム、Web予約は外部(yoyaku-beauty.jp)、LINEも
236,追加2,静岡,Salon Wan(サロンワン),トリミングサロン/ペットホテル,https://salon-wan.com/,,×,,×,静岡市駿河区栗原8-11｜電話054-262-4820のみ
237,追加2,静岡,ドッグサロンIvy(アイビー),ドッグサロン(トリミング専門),https://dogsalon-ivy.com/,,×,,×,富士市錦町1丁目14-27｜連絡先表示のみで入力フォームなし、電話0545-32-8670
238,追加2,山梨,ペットサロン テディーハウス,ペットサロン(トリミング/ホテル/ドッグラン),https://teddyhouse.jp/,,×,,×,甲斐市西八幡672｜予約・お問合せは電話055-233-5621のみ
239,追加2,山梨,イシハラドッグサロン甲府本店,トリミングサロン/ペットホテル,https://ishiharadogsalon.com/,,×,,×,甲府市平和通り｜問い合わせは電話・LINE誘導のみ、入力フォームなし
240,追加2,長野,Dogsalon mania(ドッグサロン マニア),トリミングサロン,https://dogsalon-mania.com/,,×,,×,松本市梓川倭3207-3｜/inquiryに「お問い合わせは電話のみ」と明記、電話0263-78-6464
241,追加2,長野,ドッグサロン ONE SmiLE,トリミングサロン(ドッグホテル併設),https://www.one-smile.biz/,,×,,○,長野市三輪8-32-20｜/contact.htmlに名前/電話/E-mail/内容の入力フォーム、電話026-232-1008
242,追加2,新潟,Dogsalon KUU,トリミングサロン(小型犬専用),https://kuukuu.biz/,,×,,○,上越市｜/contactに氏名/メール/電話/犬種/本文/サービス選択の入力フォーム、LINEも
243,追加2,新潟,Dog Salon Le'a(レア),トリミングサロン(小型〜中型犬),https://dogsalon-lea-nagaoka.com/,,×,,×,長岡市泉1-6-23｜予約はLINE・Instagram DM・電話070-9201-8646のみ
244,追加2,富山,犬の美容室 チェリッシュ(CHERISH),トリミング/ドッグサロン(ホテル併設),https://www.cherish-dog.com/,,○,cherish-dog@outlook.jp,○,富山市堀川本郷15-157｜/blank-3にフォーム+メール記載、予約は外部カレンダー
245,追加2,富山,Doggy Paradise(ドギーパラダイス),トリミング/ペットホテル/ドッグカフェ,https://www.doggyparadise2020.com/,,×,,○,富山市布瀬町南2-10-8｜/contactにフォーム、トリミング予約は外部(petlife.asia)
246,追加2,石川,dogsalon Colche(コルチェ),トリミングサロン(小型犬専門),https://www.colchedog.com/,,×,,不明,金沢市南新保町ハ36-3｜「専用フォームより承る」と記載あるがフォームURL不明、連絡は電話/LINE/Instagram
247,追加2,石川,ペッテルかなざわ(PETTEL KANAZAWA),トリミングサロン/ペットホテル(犬猫専門),https://pettel-k.com/,,×,,×,金沢市西念3丁目14番3号｜電話・FAX(076-222-0021)とInstagramのみ
248,追加2,福井,トリミングサロン bubble,トリミングサロン(犬専門・ミニドッグラン併設),https://trimmingsalon-bubble.com/,,×,,×,福井市中野1丁目1410｜予約は電話・LINE・Instagram DMのみ
249,追加2,岐阜,Fuwalier(フワリエ),トリミング・ドッグサロン,https://fuwalier-dog.com/,,×,,×,岐阜市柳津町北塚2丁目117｜外部ネット予約(tol-app)・LINE・電話、ページ内フォーム無し
250,追加2,岐阜,DOG.OASIS.コロン,トリミングサロン/ペットホテル(ドッグラン併設),https://dogsalon-koron.com/,,×,,○,岐阜市本郷町｜/inquiry/に名前/メール/電話/内容の入力フォーム
251,追加2,三重,mof.dog design(モフドッグ デザイン),ドッグサロン(トリミング),https://www.mof-dogdesign.jp/,,×,,○,四日市市東新町13-2-2｜/contactにフォーム、WEB予約は外部(petlife.asia)
252,追加2,三重,Dog salon WAAN(ドッグサロンワーン),トリミングサロン,https://www.dogsalon-waan.com/,,×,,○,四日市市浜田町9-10｜/contactにフォーム、WEB予約は準備中で電話案内
253,追加2,大阪,pet salon TRUST,トリミング/ペットホテル,https://www.petsalon-trust.com/,,×,,×,大阪市西区北堀江｜予約はLINE/電話/Instagram、フォーム・メールなし
254,追加2,大阪,Dog salon Calla lily(カラー),トリミング,https://www.dogsalon-calla.com/,,×,,×,大阪市住之江区中加賀屋｜外部WEB予約(petlife.asia)・電話、ページ内フォームなし
255,追加2,大阪,pet salon Dearest,トリミング/ペットショップ,https://www.petsalondearest.com/,,×,,○,大阪市西区北堀江｜/contact/にフォーム、予約は外部(petlife.asia)/LINE
256,追加2,大阪,DOG SALON Muu,トリミング,https://www.dogsalon-muu.jp/,,不明,,不明,堺市堺区二条通｜www/非www・https複数回試行も503/500/timeoutで開けず
257,追加2,大阪,トリミングハウス OHANA,ドッグサロン/トリミング,https://ohana-dog.com/,,×,,×,堺市北区新金岡｜予約・問い合わせは電話(072-275-5087)・LINEのみ
258,追加2,大阪,ドッグサロンひだまり,トリミング/一時預かり,https://www.dogsalon-hidamari.com/,,×,,○,豊中市長興寺北｜/contactにフォーム、予約は外部WEB/LINE
259,追加2,大阪,わん子ん家 天王寺てんしば店,犬の幼稚園/しつけ/ペットホテル,https://wankonchi.jp/school/school-info/tenshiba/,,×,,○,大阪市天王寺区｜/school/contact/に内容種別/希望校/名前/メール/電話/本文の入力フォーム
260,追加2,大阪,犬のほいくえん Pee-Ka-Boo,ドッグ保育園/預かり,https://www.pee-ka-boo.net/,,○,info@pee-ka-boo.net,×,大阪市(九条店/玉造店)｜トップにメール2箇所記載、予約はLINE/電話で入力フォームなし
261,追加2,大阪,smart-dog,ドッグ幼稚園/しつけ,https://smart-dog.net/,,○,smartdog0629@gmail.com,○,大阪市平野区平野北｜/inquiryform/にフォーム+メール明記
262,追加2,京都,shuclia(シュークリア),トリミング/ペットケア,https://shuclia.com/,,×,,×,亀岡市追分町｜問い合わせフォーム/メール/Contactリンクとも見当たらず
263,追加2,京都,ドッグサロンなごみ,トリミング/ペットホテル,https://www.dog-salon-nagomi.com/,,×,,○,京都市伏見区(向日・長岡京送迎)｜/contactに名前/メール/電話/内容の入力フォーム、電話075-202-9976
264,追加2,京都,DOG SALON 京都ドッグス,トリミング,https://kyoto-dogs.com/,,×,,○,京都市左京区｜WEB仮予約システム・LINE予約・電話0120-051-382(外部予約フォーム)
265,追加2,兵庫,Dog Salon ICHI,トリミング/ペットホテル,https://dogsalon-ichi.jp/,,×,,○,姫路市広畑区｜/contactに名前/メール(確認含む)/内容の入力フォーム
266,追加2,兵庫,ドッグサロンViVi,トリミング/ペットホテル,https://dogsalon-vivi.com/,,×,,○,姫路市勝原区｜/contactに問い合わせフォーム、電話079-274-2203、LINE予約も
267,追加2,兵庫,NINE BASE(ナインベース),トリミング/エステ/ペットホテル,https://www.dogdesign-ninebase.com/,,×,,×,姫路市飾磨区｜電話079-238-3767・LINE・Instagramのみ、入力フォーム無
268,追加2,兵庫,ドッグサロンmana*,トリミング/ペットホテル,https://dogsalon-mana.com/,,×,,×,明石市(神戸市含む)｜mail.htmlは「メールフォーム一時休止中」、電話078-914-6628のみ
269,追加2,兵庫,ドッグサロン ワンズライフ,トリミング,https://wans-life.com/,,×,,×,明石市小久保｜電話/FAX 078-962-5125のみ、問い合わせ/予約リンクもフォームも無
270,追加2,兵庫,いぬまるドッグサロン,ドッグサロン/トリミング,https://inumaru-dog-salon.com/,,×,,○,明石市大久保町｜/contactに名前/メール/電話/本文の入力フォーム、電話080-3845-1156/LINE
271,追加2,兵庫,Dog salon cocode,トリミング,https://dog-cocode.com/,,×,,×,明石市野々上(西明石)｜電話078-945-5072のみ(予約優先)、入力フォーム無
272,追加2,滋賀,DOG SALON REVE(レーヴ),トリミング/ペットサロン,https://dog-reve.jp/,,×,,×,草津市下笠町(栗東対応)｜電話077-568-8120・Instagramのみ、問い合わせフォーム無
273,追加2,滋賀,Dog Salon Lavandula,トリミング,https://www.dogsalonlavandula.com/,,×,,○,大津市石山寺｜/contactに入力フォーム、LINE予約も
274,追加2,奈良,Dog Salon ONE WAN,トリミング,https://www.dogsalon-onewan.com/,,×,,×,生駒郡(法隆寺駅近く)｜電話090-3948-3085・LINE予約のみ、入力フォーム無
